Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
018a42b9-d976-30a2-b73b-c7b8dbb7fd6e,4fc25aa1-048f-370d-b0ae-4ac0309c4ae5,Frieda Seidel,F,GENERAL PRACTICE,1650 SIERRA AVE,YUBA CITY,CA,959938986,39.14030116968182,-121.65012714263797,76,0
616411db-fbfa-36e2-9811-bce74fcf42ac,660b2939-d8d9-3a9c-9534-3a55eb9049ac,Frieda Simon,F,GENERAL PRACTICE,Grillparzerstraße 9,Landshut,Bayern,84028,48.5344648,12.164104,8,0
ab6aa569-ff23-3387-8b9b-71d719031bee,bd920e76-5a0e-3428-a290-41b078f58c41,Amelie Lehmann,F,GENERAL PRACTICE,,Künzell,Hessen,36093,50.5274606,9.7318148,21,0
09410e7e-55f1-378b-93f8-3657030f84ef,8b81f0f2-0b7f-39cc-b94f-7e07bf04fe49,Christian Zimmermann,M,GENERAL PRACTICE,Hindenburgstraße 56,Bünde,Nordrhein-Westfalen,32257,52.1975705,8.5935559,4,0
b428fc7c-b1b8-33ff-9868-af924ff25080,1c77335c-6267-36f8-ad59-d16ec45856e2,Gerhard Müller,M,GENERAL PRACTICE,1405 HERITAGE DR,SAINT PAUL,NE,688733618,45.6769453,5.7847432,3,0
7f44eac8-cef7-3c8a-a00d-ea05503dc098,bd05b409-6fd4-3521-bdd0-3b3df035ac0d,Ernst Keller,M,GENERAL PRACTICE,Hangbaumstraße 5a,Bünde,Nordrhein-Westfalen,32257,52.1967538,8.5840144,61,0
2bd57f06-ec91-3038-baa9-4401eedab728,7f4ea3e8-0f93-387e-bef3-85f21126ed91,Tom Schwarz,M,GENERAL PRACTICE,Renchtalstraße 14,Renchen,Baden-Württemberg,77871,48.5820166,8.0175517,2,0
223907d2-2817-3a82-a0de-1c8c326813fa,5205de88-8ed2-35a1-a8a3-4e237617b03c,Mila Möller,F,GENERAL PRACTICE,Gartenstraße 7,Ispringen,Baden-Württemberg,75228,48.915979,8.6708541,55,0
615f0ed8-3c06-3971-8cc4-22b4d85c3686,601b7fc9-3dd2-3284-a701-7ab3e0a5208b,Günter Neumann,M,GENERAL PRACTICE,Am Anger 1,Remagen,Rheinland-Pfalz,53424,50.5736112,7.2335732,14,0
c5ef3b9d-ddf4-35f6-9e8c-7fb051272e72,9d5cd9b1-fb16-3eee-a8d7-24e31253ecd8,Anna Gärtner,F,GENERAL PRACTICE,Schulstraße 10,Scheeßel,Niedersachsen,27383,53.1715173,9.4800655,8,0
ea7cafbe-3aad-315c-ae62-a3526da3c223,142915f1-6ec3-3c06-af8a-a47c5ed89437,Andrea Klein,F,GENERAL PRACTICE,,Chemnitz,Sachsen,09116,50.8438911,12.8830589,21,0
5ea7b4be-be84-35a6-ab62-961b863732f1,2aeaa99b-4bb0-3b9d-9b24-df0acad83628,Johanna Jung,F,GENERAL PRACTICE,Gutenbergstraße 7,Asbach-Bäumenheim,Bayern,86663,48.6842603,10.8164043,33,0
4c036127-5ac9-3f9f-8877-72efc8ba7fc3,c7fc9fe4-2d02-35db-ab1b-18f30a154d3a,Michael Richter,M,GENERAL PRACTICE,13938 HWY 165,KINDER,LA,706480001,51.1449692,5.7414008,39,0
dd829076-e7f0-32eb-bf24-60213eab17c7,a9db35b2-1b70-3069-8b82-f56ea205fe17,Wilhelm Schubert,M,GENERAL PRACTICE,,Mönchengladbach,Nordrhein-Westfalen,41239,51.1700078,6.4365605,37,0
a9990bc3-075f-3499-bd5a-aeeebd1aea44,99da9dfb-9600-3554-ad6f-38381995675d,Wilhelm Schröder,M,GENERAL PRACTICE,,Gransee,Brandenburg,16775,52.9989642,13.1438581,23,0
c12a1910-a52e-3074-9cf2-5e9f1244fa8f,81fd7b28-bafb-3388-9d52-70f24b4804ab,Paul Berger,M,GENERAL PRACTICE,Am Marktplatz 12,Schauenstein,Bayern,95197,50.2785609,11.7412636,21,0
c64c0b6d-8293-3e10-aea7-83150cf8a04e,0ce61de2-aa21-3cf7-a349-b8fc7fe563d5,Silvia Weber,F,GENERAL PRACTICE,An der Rosenhöhe 27,,Nordrhein-Westfalen,,51.9823113,8.530265,144,0
9eef7992-d519-3b02-beae-f2a3aa778354,ec4b60e3-89e7-3ea9-bcaa-63fa8a48f058,Stefan Hartmann,M,GENERAL PRACTICE,Wasserfeldstraße 5,Ruhstorf an der Rott,Bayern,94099,48.4391403,13.3337927,67,0
87960dc4-7d9c-3db8-be9f-0fa470811c3d,43c407f3-5960-3a5d-9f0c-b92dc466b0da,Arthur Gärtner,M,GENERAL PRACTICE,Am Knappschaftskrankenhaus 1,Dortmund,Nordrhein-Westfalen,44309,51.5211617,7.5312629,3,0
28e8739e-a10b-385a-89ca-1caed347e492,9dc0d11f-6406-3a39-907d-c54baec93dc9,Jan Günther,M,GENERAL PRACTICE,Pauwelsstraße 30,Aachen,Nordrhein-Westfalen,52074,50.7766697,6.0417862,2,0
96eed7a2-6b04-347f-80ae-36f8ea22e515,580f507e-8334-37ac-a2a6-77ee6a91c8d7,Oliver Baumann,M,GENERAL PRACTICE,Humboldtstraße 5,Hannover,Niedersachsen,30169,52.3721461,9.7236825,7,0
9b0c51e9-de53-3b93-9bef-54b8adae000f,fad5c5e1-e31c-33fe-a63b-31615c893a9b,Tobias Krüger,M,GENERAL PRACTICE,,Borken,Nordrhein-Westfalen,46325,51.8417595,6.8606781,2,0
